Sample_name,Species,Site,Sizes
NE01,Tn,Northeast coast,Juvenile
NE02,Tn,Northeast coast,Juvenile
YL01,Tn,Northeast coast,Adult
YL02,Tm,Northeast coast,Adult
GS01,Tm,Northeast coast,Juvenile
GS02,Ts,Northeast coast,Juvenile
GS03,Tn,Northeast coast,Juvenile
GS04,Tn,Northeast coast,Adult
GS05,Tn,Northeast coast,Adult
GS19,Tn,Northeast coast,Adult
GS18,Tn,Northeast coast,Adult
GS06,Tn,Northeast coast,Adult
GS20,Tm,Northeast coast,Juvenile
GS17,Tn,Northeast coast,Adult
GS10,Tn,Northeast coast,Adult
GS09,Tn,Northeast coast,Adult
GS16,Tm,Northeast coast,Adult
TT14,Tn,Taitung,Juvenile
TT15,Tm,Taitung,Juvenile
TT12,Tm,Taitung,Juvenile
TT05,Tn,Taitung,Juvenile
TT27,Tn,Taitung,Juvenile
TT06,Tn,Taitung,Juvenile
TT32,Ts,Taitung,Juvenile
TT33,Tn,Taitung,Juvenile
TT02,Tm,Taitung,Juvenile
TT11,Tn,Taitung,Juvenile
TT16,Tm,Taitung,Juvenile
TT04,Tn,Taitung,Juvenile
TT13,Tn,Taitung,Juvenile
TT03,Tm,Taitung,Juvenile
TT29,Ts,Taitung,Juvenile
TT10,Tm,Taitung,Juvenile
TT21,Tn,Taitung,Juvenile
TT22,Ts,Taitung,Juvenile
TT24,Tn,Taitung,Juvenile
TT23,Tn,Taitung,Juvenile
TT30,Tn,Taitung,Juvenile
TT20,Ts,Taitung,Juvenile
TT07,Ts,Taitung,Juvenile
TT01,Tn,Taitung,Adult
TT28,Ts,Taitung,Juvenile
TT09,Tn,Taitung,Adult
TT31,Tn,Taitung,Adult
TT17,Ts,Taitung,Juvenile
TT08,Tm,Taitung,Juvenile
TT26,Tn,Taitung,Adult
TT18,Tm,Taitung,Adult
TT19,Tm,Taitung,Adult
TT25,Tm,Taitung,Adult
KT02,Tm,Kenting,Juvenile
KT04,Tm,Kenting,Juvenile
KT05,Tn,Kenting,Juvenile
KT06,Tm,Kenting,Adult
KT07,Tn,Kenting,Adult
KT08,Tm,Kenting,Juvenile
KT09,Tn,Kenting,Adult
KT10,Tn,Kenting,Juvenile
KT12,Tm,Kenting,Juvenile
KT13,Tm,Kenting,Juvenile
KT14,Tn,Kenting,Adult
KT15,Tn,Kenting,Adult
KT16,Tn,Kenting,Juvenile
KT17,Tn,Kenting,Adult
KT18,Tn,Kenting,Juvenile
KT31,Tn,Kenting,Juvenile
KT32,Tn,Kenting,Adult
KT33,Tn,Kenting,Adult
KT34,Tn,Kenting,Juvenile
KT35,Tn,Kenting,Juvenile
