Function,Level_1,Level_2,Level_3
ko01100,1. Metabolism,1.0 Global and overview maps,Metabolic pathways
ko01110,1. Metabolism,1.0 Global and overview maps,Biosynthesis of secondary metabolites
ko01120,1. Metabolism,1.0 Global and overview maps,Microbial metabolism in diverse environments
ko01200,1. Metabolism,1.0 Global and overview maps,Carbon metabolism
ko01210,1. Metabolism,1.0 Global and overview maps,2-Oxocarboxylic acid metabolism
ko01212,1. Metabolism,1.0 Global and overview maps,Fatty acid metabolism
ko01230,1. Metabolism,1.0 Global and overview maps,Biosynthesis of amino acids
ko01220,1. Metabolism,1.0 Global and overview maps,Degradation of aromatic compounds
ko00010,1. Metabolism,1.1 Carbohydrate metabolism,Glycolysis / Gluconeogenesis
ko00020,1. Metabolism,1.1 Carbohydrate metabolism,Citrate cycle (TCA cycle)
ko00030,1. Metabolism,1.1 Carbohydrate metabolism,Pentose phosphate pathway
ko00040,1. Metabolism,1.1 Carbohydrate metabolism,Pentose and glucuronate interconversions
ko00051,1. Metabolism,1.1 Carbohydrate metabolism,Fructose and mannose metabolism
ko00052,1. Metabolism,1.1 Carbohydrate metabolism,Galactose metabolism
ko00053,1. Metabolism,1.1 Carbohydrate metabolism,Ascorbate and aldarate metabolism
ko00500,1. Metabolism,1.1 Carbohydrate metabolism,Starch and sucrose metabolism
ko00520,1. Metabolism,1.1 Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism
ko00620,1. Metabolism,1.1 Carbohydrate metabolism,Pyruvate metabolism
ko00630,1. Metabolism,1.1 Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism
ko00640,1. Metabolism,1.1 Carbohydrate metabolism,Propanoate metabolism
ko00650,1. Metabolism,1.1 Carbohydrate metabolism,Butanoate metabolism
ko00660,1. Metabolism,1.1 Carbohydrate metabolism,C5-Branched dibasic acid metabolism
ko00562,1. Metabolism,1.1 Carbohydrate metabolism,Inositol phosphate metabolism
ko00190,1. Metabolism,1.2 Energy metabolism,Oxidative phosphorylation
ko00195,1. Metabolism,1.2 Energy metabolism,Photosynthesis
ko00196,1. Metabolism,1.2 Energy metabolism,Photosynthesis - antenna proteins
ko00710,1. Metabolism,1.2 Energy metabolism,Carbon fixation in photosynthetic organisms
ko00720,1. Metabolism,1.2 Energy metabolism,Carbon fixation pathways in prokaryotes
ko00680,1. Metabolism,1.2 Energy metabolism,Methane metabolism
ko00910,1. Metabolism,1.2 Energy metabolism,Nitrogen metabolism
ko00920,1. Metabolism,1.2 Energy metabolism,Sulfur metabolism
ko00061,1. Metabolism,1.3 Lipid metabolism,Fatty acid biosynthesis
ko00062,1. Metabolism,1.3 Lipid metabolism,Fatty acid elongation
ko00071,1. Metabolism,1.3 Lipid metabolism,Fatty acid degradation
ko00072,1. Metabolism,1.3 Lipid metabolism,Synthesis and degradation of ketone bodies
ko00073,1. Metabolism,1.3 Lipid metabolism,"Cutin, suberine and wax biosynthesis"
ko00100,1. Metabolism,1.3 Lipid metabolism,Steroid biosynthesis
ko00120,1. Metabolism,1.3 Lipid metabolism,Primary bile acid biosynthesis
