OTU_ID,CM01,CM02,CM03,CM05-1,CM07,CM15,CM16,DS01,DS02,DS03,DS04,DS09,DS10,DS11,DS13,DS16,DS18,DS24,DS25,DS26,GS01,GS02,GS03,GS04,GS09,GS10,GS16,GS17,GS20,HL01,HL02,HL03,HL04,HL05,KT01,KT05,KT08,KT12,KT13,KT17,KT18,KT21,KT26,KT29,KT30,KT34,KT44,KT48,KT50,LD03,LD11,LD14,LD16,LD22,LD23,LD27,LD32,LD38,LD39,LD47,LD57,LD58,LD59,LD60,LY01,LY09,LY12,LY13,LY22,LY24,LY26,LY37,LY50,LY56,LY61,LY62,NE01,NE02,OK02,OK03,OK04,OK05,OK06,OK07,OK17,OK20,OK21,OK22,OK24,OK27,OK28,OK29,OK30,OK32,OK36,OK37,OK39,PH01,PH07,PH08,PH14,PH19,PH27,TP02,TP05,TP06,TP09,TP23,TP35,TP39,TP51,TT02,TT03,TT06,TT12,TT14,TT17,TT18,TT19,TT20,TT21,TT27,TT28,TT29,TT31,TT32,TT33,W24,WA01,WA07,WA08,XL02,XL03,XL04,XL06,XL08,XL11,XL13,XL14,XL21,XL35,XL37,XL40,XL46,XL47,XL48,XL49,XL50,YL01,YL02
f4173b4fb65d94c5c96642ddc69817d5,837,3120,11073,1049,750,171,932,609,0,2642,1676,0,2044,0,3580,885,906,1689,2270,268,36365,9558,7021,21757,167,22179,209,10033,6282,12310,10873,3980,28780,53307,2928,254,48401,2406,575,0,898,5881,2202,2622,2196,680,21970,10535,1546,8745,4932,10359,10154,44058,1369,23039,2247,1307,12890,769,5734,21782,1242,6231,55026,49673,13416,30822,9954,2491,332,186,4009,1181,1410,1150,10235,1421,2892,478,5183,5263,1655,687,1994,828,2803,166,1625,2320,887,1057,914,14337,8732,4704,574,0,1604,2870,14866,31420,37138,1673,5948,2216,3659,2715,6278,742,843,15616,5337,37337,1231,24416,10434,15354,251,10939,6480,31001,191,14229,2434,79,13098,1528,0,15443,28678,248,15448,35152,16977,2020,2795,20776,29899,21164,29825,22050,4250,2653,2111,1061,45777,82055,0,69
18125072ccee730f1a19e5d6f040514d,672,2499,13214,1281,1067,227,1289,709,0,2199,1911,0,1978,0,2897,794,929,2127,2430,279,29179,7529,5205,17062,0,17301,151,11236,5168,10152,8186,3161,23011,43386,3747,402,39971,2903,643,135,1353,6031,2934,3281,2797,804,29173,9234,1750,7236,4058,8123,8140,34215,1231,17413,1756,1027,9709,655,3986,24509,1137,5156,41189,38655,10534,20913,8562,1986,304,144,2642,872,1109,921,11212,1496,2364,370,3754,4110,1306,590,1646,572,2301,0,1416,1948,699,799,907,12047,7765,3918,458,0,2210,3847,11245,46435,49209,1336,4689,1833,2846,2136,4905,552,990,12292,4152,31302,1057,17778,8473,12893,184,8446,4857,20886,172,11373,1758,118,11481,1963,0,21106,40696,205,20536,46415,22781,2259,3578,30624,38463,27410,36284,26877,4857,2331,1611,1285,64993,66076,106,30
5b1c34a61a447937be4f26c47c49bd51,6744,37733,0,6401,4912,1003,4704,2751,0,18858,11264,304,12596,0,29026,9205,8277,12632,20779,3044,0,9276,6573,0,1708,0,878,0,0,0,0,0,0,0,12225,194,0,10974,4052,0,7948,930,11678,14158,3650,6777,13901,0,8272,0,15455,0,7688,7182,8149,0,13424,9173,0,9699,9325,25401,3245,9773,6412,515,3786,21432,0,22899,3582,1564,985,0,101,7541,42905,19692,33612,4759,41853,51755,29326,13643,21055,7002,18424,3178,14128,15855,5112,7479,28332,60927,49765,33290,6480,190,11373,0,0,0,0,9607,36441,15770,24091,15728,10068,10084,6272,0,0,0,3946,0,0,0,0,0,0,0,0,0,0,0,0,8633,0,0,0,1126,0,0,0,10073,0,0,924,0,0,0,2832,0,13255,2290,0,0,0,0
459a2b57669f653ab8c588f3dc6470dc,4953,28536,0,8360,6989,1487,7008,3094,201,15631,12963,159,14093,235,21951,9703,8044,16237,23302,2510,0,7118,4947,0,1471,0,614,0,0,0,0,0,0,0,16615,199,0,14467,5293,0,11313,700,16546,19413,4616,9487,19018,0,10682,0,11567,0,6145,5690,7105,0,10406,6523,0,7829,6388,29693,2795,7862,5058,483,3140,15218,0,17474,3032,1241,690,0,0,5723,49541,17326,25406,3892,30301,37845,24186,10775,17057,5308,14284,2510,11736,12692,4093,5580,25206,50873,41477,25723,5215,88,15078,0,0,0,0,11166,27993,12751,17910,11856,8200,7465,6926,0,0,0,3096,0,0,0,0,0,0,0,0,0,0,0,0,11340,144,0,0,1254,0,0,0,12441,0,0,1124,0,0,0,3345,0,9776,2967,0,0,0,0
84f0a4af1757b0d2abfa97e1b879948f,481,2035,4531,620,442,120,509,363,0,1676,889,0,1263,0,2162,560,606,1043,1569,166,18327,4666,2892,11462,0,11342,106,6238,3395,7254,6794,2262,16816,28446,1329,257,27342,1310,304,0,683,3724,1288,1665,1232,393,12643,5774,904,4853,2441,4498,4800,24981,807,12338,1368,781,5132,437,2088,13609,856,3429,30008,26376,6341,17180,4681,1390,194,113,2309,559,786,725,5053,1047,1683,270,2939,3319,969,398,1244,535,1550,0,944,1454,644,559,497,7685,4899,2506,285,0,964,1699,7792,17456,19157,879,3479,1128,2214,1471,3531,456,575,8475,2755,20546,769,11676,5833,8526,119,6044,3458,16221,95,7382,1485,61,6807,928,0,8739,15358,128,7953,15692,8706,1285,1591,11833,17971,10488,14870,12118,2268,1535,1374,520,22197,44417,34,0
336ad9b918b50f6e919c7d1007892d91,308,1624,5237,727,615,109,680,306,0,1406,1076,0,1094,0,1532,504,543,1152,1509,137,14557,3687,1967,8746,0,8775,83,5868,2620,5832,5177,1733,12605,22048,1747,233,22539,1591,364,0,849,3576,1582,2027,1429,417,14937,4807,1078,3694,1897,3398,3675,18859,657,9081,950,536,3699,372,1396,12740,702,2707,22079,20202,4734,11619,3718,1047,168,84,1335,403,576,494,5275,853,1296,246,2054,2511,829,330,1010,409,1261,0,810,1088,482,439,501,6170,4096,2101,204,184,1140,1894,5668,22308,22810,592,2723,863,1532,1048,2777,333,619,6512,2068,15700,541,8139,4403,6936,93,4565,2456,10950,113,5602,915,0,5402,1135,0,10760,19654,130,9452,19062,10418,1336,1744,15496,21113,12404,16492,14501,2348,1277,885,678,27054,34251,0,17
c77ac529fcfaa06ae734e02a20934a89,3335,21404,0,3454,2567,684,2629,1589,180,10570,5454,0,7204,0,14418,5758,4771,6831,13130,1490,0,4630,2787,0,801,0,349,0,0,0,0,0,0,0,5348,98,0,5701,2270,0,4918,492,6181,8245,2085,3716,8358,0,4617,0,7054,0,3845,4252,4525,0,6939,5169,0,4880,3438,15192,2003,5272,3874,322,1820,12795,0,11729,1983,923,672,0,0,3969,21804,11042,17089,2447,20983,28800,15868,8069,11520,4188,9561,1608,8007,8104,3370,3634,15553,31072,25825,16659,3202,0,5888,0,0,0,0,5109,19164,7702,12460,7662,5627,5515,4195,0,0,0,2385,0,0,0,0,0,0,0,0,0,0,0,0,4926,0,0,0,688,0,0,0,5367,0,0,627,0,0,0,1845,0,7089,1206,0,0,0,0
b70efc4e0dc270092004b040bfe569ff,2260,16028,0,4071,3279,779,3466,1449,0,8597,5996,108,6473,0,10972,4744,4113,7511,11280,1346,0,3405,1992,0,693,0,335,0,0,0,0,0,0,0,6749,112,0,7444,2730,0,6348,503,8071,9902,2416,4412,10106,0,5460,0,5266,0,2806,3165,3822,0,5134,3709,0,3921,2309,14628,1646,4089,2803,265,1417,8475,0,8929,1422,728,499,0,0,2838,19426,9205,12485,1965,14581,20817,12623,5964,9295,3233,7142,1126,6361,6213,2470,2714,12972,24033,19929,12522,2430,0,7304,0,0,0,0,4289,14544,5942,9329,5607,4201,3976,4182,0,0,0,1711,0,0,0,0,0,0,0,0,0,0,0,0,5926,0,0,0,657,0,0,0,6244,0,0,672,0,0,0,1667,0,4953,1387,0,0,0,0
9e4156c554f9cce01bdcfb800795f8a4,2323,18747,0,2345,2243,411,2011,1297,0,11530,6258,0,7426,136,19275,5206,4882,7862,13392,1560,0,4144,3023,0,790,0,500,0,0,0,0,0,0,0,8448,116,0,6483,2347,0,3564,438,6393,7735,2046,4232,7918,0,4894,0,9426,0,3693,3857,1806,0,7867,5311,0,6698,3680,3670,2133,5253,3576,0,1749,9058,0,12882,2324,986,481,0,0,4760,11087,6890,6933,3183,13122,16005,8673,4113,5208,4157,7475,508,4218,5238,3012,5047,3787,6307,10039,13073,2285,0,5289,0,0,0,0,6111,16815,8171,13019,8278,5503,5612,2627,0,0,0,978,0,0,0,0,0,0,0,0,0,0,0,0,4127,0,0,0,542,0,0,0,5634,0,0,527,0,0,0,1493,0,7498,1551,0,0,0,0
1c9cb097b0d6e39698738761ae2a933b,1857,14612,0,3110,2971,609,2964,1578,147,9475,7057,229,8128,0,14289,4558,4852,9503,14998,1419,0,3118,2211,0,689,0,358,0,0,0,0,0,0,0,11380,0,0,8637,2707,0,5082,479,8923,10738,2619,5600,10490,0,5993,0,7208,0,3151,3156,1760,0,6196,3909,0,5449,2769,4034,1823,4407,2999,0,1597,6427,0,9975,1865,661,276,0,0,3645,13360,6068,5354,2622,9382,11896,7352,3109,4357,3275,6035,554,3745,4242,2262,3656,3491,5596,8833,10334,1809,0,7153,0,0,0,0,5105,13157,6775,9716,6477,3944,4224,2863,0,0,0,780,0,0,0,0,0,0,0,0,0,0,0,0,5157,0,0,0,657,0,0,0,6891,0,0,630,0,0,0,1698,0,5705,1817,0,0,0,0
