Feature ID,Kingdom,Phylum,Order,Class,Family,Genus,Subclade
f4173b4fb65d94c5c96642ddc69817d5,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,A3
18125072ccee730f1a19e5d6f040514d,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,A3
459a2b57669f653ab8c588f3dc6470dc,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,
336ad9b918b50f6e919c7d1007892d91,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,A3
e6fdf4ff87c81b1ef9276411b19fb568,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,A3
5b1c34a61a447937be4f26c47c49bd51,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,
1c9cb097b0d6e39698738761ae2a933b,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,A3g
c77ac529fcfaa06ae734e02a20934a89,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,
9e4156c554f9cce01bdcfb800795f8a4,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,A3g
84f0a4af1757b0d2abfa97e1b879948f,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,A3
59e0fc8565c5a15680d87fa3e00f020a,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,
b70efc4e0dc270092004b040bfe569ff,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,
ffb9dbce4ab558c230341963675b739a,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,
100f6055bbb8fbea11747c88fb682eac,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,A3
45f0b083f10287be3c14423fb507be09,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,
85d1dc033eab429620ecfbfcbf4a7d7e,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,A3
130ffb0797ccb3542685022af431fff1,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,
d07c9fce16dd55a7957de30e434a0fdb,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,
dbd4479ef4c80ca3c9b2139668993346,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,
c746a202a8b1082463204fff6ffb1035,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,
21e3adc4f1d2c625539d9b87943221af,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,
70393a94079ec0760263d605b17e90d2,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,
2e439d18d292bb0abc95888fa5f15c2a,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,
4b057824a558570e8b712c274c9c5a5e,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,
9ede50019c1c78c4ec3037dc2495c99e,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,
007e3d9d55a35ab0b112fe202f740f85,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,
4548c7063da95e64d68fb9024db75fee,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,A3
f5d1371cf946a8c5a9c70e0f76184aaf,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,
93cd42f88b98e86f917104b609a0bea8,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,A3
b89266e3f8cce1c0a2bfd1b0c5851c85,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,C,
54ddcda6f0aa53a521d09ebfc495a7b1,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,A3
b760251e75514f4b07c4c8ce4a3a368b,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,A3
54669748b4bf81ef124c5e5d02be6d40,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,C,
e907612fa958670862ccfdfbeedc3647,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,A3
ccaae6f2b42853c1b3309f04d5505626,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,
64f1c1a7e1b6840ce900789b9d0d41e5,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,A3
dbc465d4d4993886a3cebb51b62bce01,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,A3
ea1dcc96cffc2bc2a2cbf60e0b83b4da,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,A3
5b388b47df5543cc6bb2acfcc3934ee9,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,
7331aaf4ad3fa79decb63cd9d067cba1,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,A3
4a2cb6256c2026e31f0e29f20e85746c,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,A3
0accd829ac98f593ea18de77d9fdd0df,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,A3g
35c667404d00c1c4912492cdef5b073e,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,
85705014440601ac489d3235a76cc42a,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,
619444d1199ccfdfbfb5b340019c2e8d,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,C,
8ea45ca8fb1093d732b83b8b38866315,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,D,
67c774fb529be7733d83e50236d7090a,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,A3
0739e8d8afccea10014d775a1855cb6e,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,
0b473762d6f49c92cb2e5013e8a9c64b,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,
0610833be7c33ddda1fb4897dc977067,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,A3g
6fae113fa7ff955435acf33849f63f13,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,A3g
85e5e21bdb97b16849bf7c3f320871d9,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,A3
63137ba0e1e992012447ae92803cfdf9,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,A3
700aeedef0f8b789368af0d5d67cf49d,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,
99c6cf14a17a4213e23fd5e4619c455e,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,A3g
18cea8040ad74e6c3eb2d89d8b8f72c6,SAR,Alveolata,Dinophyceae,Suessiales,Symbiodiniaceae,A,
